20100101,32
20100102,32
20100103,32
20100104,32
20100105,32
20100106,31
20100107,31
20100108,31
20100109,31
20100110,31
20100111,31
20100112,31
20100113,31
20100114,31
20100115,31
20100116,31
20100117,31
20100118,31
20100119,31
20100120,31
20100121,31
20100122,30
20100123,30
20100124,31
20100125,31
20100126,31
20100127,31
20100128,31
20100129,31
20100130,31
20100131,31
20100201,31
20100202,31
20100203,31
20100204,31
20100205,31
20100206,31
20100207,32
20100208,32
20100209,32
20100210,32
20100211,32
20100212,32
20100213,33
20100214,33
20100215,33
20100216,33
20100217,33
20100218,34
20100219,34
20100220,34
20100221,35
20100222,35
20100223,35
20100224,35
20100225,36
20100226,36
20100227,36
20100228,37
20100301,37
20100302,37
20100303,38
20100304,38
20100305,38
20100306,39
20100307,39
20100308,40
20100309,40
20100310,40
20100311,41
20100312,41
20100313,41
20100314,42
20100315,42
20100316,42
20100317,43
20100318,43
20100319,44
20100320,44
20100321,44
20100322,45
20100323,45
20100324,45
20100325,46
20100326,46
20100327,47
20100328,47
20100329,47
20100330,48
20100331,48
20100401,48
20100402,49
20100403,49
20100404,50
20100405,50
20100406,50
20100407,51
20100408,51
20100409,51
20100410,52
20100411,52
20100412,53
20100413,53
20100414,53
20100415,54
20100416,54
20100417,55
20100418,55
20100419,55
20100420,56
20100421,56
20100422,57
20100423,57
20100424,58
20100425,58
20100426,58
20100427,59
20100428,59
20100429,60
20100430,60
20100501,61
20100502,61
20100503,61
20100504,62
20100505,62
20100506,63
20100507,63
20100508,64
20100509,64
20100510,64
20100511,65
20100512,65
20100513,66
20100514,66
20100515,66
20100516,67
20100517,67
20100518,67
20100519,68
20100520,68
20100521,68
20100522,69
20100523,69
20100524,69
20100525,70
20100526,70
20100527,70
20100528,70
20100529,71
20100530,71
20100531,71
20100601,71
20100602,72
20100603,72
20100604,72
20100605,72
20100606,73
20100607,73
20100608,73
20100609,73
20100610,74
20100611,74
20100612,74
20100613,74
20100614,75
20100615,75
20100616,75
20100617,75
20100618,75
20100619,76
20100620,76
20100621,76
20100622,76
20100623,76
20100624,77
20100625,77
20100626,77
20100627,77
20100628,78
20100629,78
20100630,78
20100701,78
20100702,78
20100703,79
20100704,79
20100705,79
20100706,79
20100707,79
20100708,79
20100709,79
20100710,79
20100711,80
20100712,80
20100713,80
20100714,80
20100715,80
20100716,80
20100717,80
20100718,80
20100719,80
20100720,80
20100721,80
20100722,80
20100723,80
20100724,80
20100725,80
20100726,80
20100727,80
20100728,80
20100729,80
20100730,80
20100731,80
20100801,80
20100802,80
20100803,80
20100804,80
20100805,80
20100806,79
20100807,79
20100808,79
20100809,79
20100810,79
20100811,79
20100812,79
20100813,79
20100814,79
20100815,79
20100816,79
20100817,79
20100818,78
20100819,78
20100820,78
20100821,78
20100822,77
20100823,77
20100824,76
20100825,76
20100826,76
20100827,76
20100828,76
20100829,75
20100830,75
20100831,75
20100901,75
20100902,74
20100903,74
20100904,74
20100905,73
20100906,73
20100907,73
20100908,73
20100909,72
20100910,72
20100911,72
20100912,71
20100913,71
20100914,71
20100915,70
20100916,70
20100917,70
20100918,69
20100919,69
20100920,69
20100921,68
20100922,68
20100923,68
20100924,67
20100925,67
20100926,67
20100927,66
20100928,66
20100929,66
20100930,65
20101001,65
20101002,64
20101003,64
20101004,64
20101005,63
20101006,63
20101007,62
20101008,62
20101009,62
20101010,61
20101011,61
20101012,60
20101013,60
20101014,60
20101015,59
20101016,59
20101017,59
20101018,58
20101019,58
20101020,57
20101021,57
20101022,57
20101023,56
20101024,56
20101025,55
20101026,55
20101027,55
20101028,54
20101029,54
20101030,53
20101031,53
20101101,53
20101102,52
20101103,52
20101104,51
20101105,51
20101106,50
20101107,50
20101108,50
20101109,49
20101110,49
20101111,48
20101112,48
20101113,48
20101114,47
20101115,47
20101116,46
20101117,46
20101118,46
20101119,45
20101120,45
20101121,45
20101122,44
20101123,44
20101124,43
20101125,43
20101126,43
20101127,42
20101128,42
20101129,41
20101130,41
20101201,41
20101202,40
20101203,40
20101204,40
20101205,39
20101206,39
20101207,38
20101208,38
20101209,38
20101210,37
20101211,37
20101212,37
20101213,37
20101214,36
20101215,36
20101216,36
20101217,35
20101218,35
20101219,35
20101220,35
20101221,34
20101222,34
20101223,34
20101224,34
20101225,34
20101226,33
20101227,33
20101228,33
20101229,33
20101230,33
20101231,32
